"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","wine_quality","wine_quality_num","P"
7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6,"good",1,0.499412572592708
6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6,"good",1,0.421827121433686
8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6,"good",1,0.640526633950527
7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6,"good",1,0.606159885364964
7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6,"good",1,0.606159885364964
8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6,"good",1,0.640526633950527
6.2,0.32,0.16,7,0.045,30,136,0.9949,3.18,0.47,9.6,6,"good",1,0.508792557018965
7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6,"good",1,0.499412572592708
6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6,"good",1,0.421827121433686
8.1,0.22,0.43,1.5,0.044,28,129,0.9938,3.22,0.45,11,6,"good",1,0.745299343725649
8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,5,"bad",0,0.865529852665131
8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,5,"bad",0,0.480209890142732
7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,5,"bad",0,0.696047109906729
6.6,0.16,0.4,1.5,0.044,48,143,0.9912,3.54,0.52,12.4,7,"good",1,0.936198284149166
8.3,0.42,0.62,19.25,0.04,41,172,1.0002,2.98,0.67,9.7,5,"bad",0,0.68213078291606
6.6,0.17,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,11.4,7,"good",1,0.815495631753948
6.3,0.48,0.04,1.1,0.046,30,99,0.9928,3.24,0.36,9.6,6,"good",1,0.42620318427787
6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8,"good",1,0.947383506184705
7.4,0.34,0.42,1.1,0.033,17,171,0.9917,3.12,0.53,11.3,6,"good",1,0.779209629277089
6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5,5,"bad",0,0.500386951655689
6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8,"good",1,0.947383506184705
6.4,0.31,0.38,2.9,0.038,19,102,0.9912,3.17,0.35,11,7,"good",1,0.75482530666981
6.8,0.26,0.42,1.7,0.049,41,122,0.993,3.47,0.48,10.5,8,"good",1,0.689296978301835
7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,5,"bad",0,0.329048330371701
6.6,0.27,0.41,1.3,0.052,16,142,0.9951,3.42,0.47,10,6,"good",1,0.561129022666071
7,0.25,0.32,9,0.046,56,245,0.9955,3.25,0.5,10.4,6,"good",1,0.730385007111429
6.9,0.24,0.35,1,0.052,35,146,0.993,3.45,0.44,10,6,"good",1,0.562177142348576
7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,6,"good",1,0.764334002307586
7.4,0.27,0.48,1.1,0.047,17,132,0.9914,3.19,0.49,11.6,6,"good",1,0.833090706807435
7.2,0.32,0.36,2,0.033,37,114,0.9906,3.1,0.71,12.3,7,"good",1,0.906821842796973
8.5,0.24,0.39,10.4,0.044,20,142,0.9974,3.2,0.53,10,6,"good",1,0.658930324740419
8.3,0.14,0.34,1.1,0.042,7,47,0.9934,3.47,0.4,10.2,6,"good",1,0.614573353287545
7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,6,"good",1,0.709116056521241
6.2,0.12,0.34,1.5,0.045,43,117,0.9939,3.42,0.51,9,6,"good",1,0.328815933268737
5.8,0.27,0.2,14.95,0.044,22,179,0.9962,3.37,0.37,10.2,5,"bad",0,0.782324783700739
7.3,0.28,0.43,1.7,0.08,21,123,0.9905,3.19,0.42,12.8,5,"bad",0,0.943368608837452
6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10,5,"bad",0,0.591024896961486
